t [s] , T [K] , Xfront [mm] , sdot [mm/s] , dodt [kg/m^2s] , dcodt [kg/m^2s] , dco2dt [kg/m^2s] , dcdt [kg/m^2s] , dc2dt [kg/m^2s] , dc3dt [kg/m^2s]
0 , 800 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
0.2 , 1016.53 , 9.70111e-05 , 0.000672315 , 3.6119e-10 , 0.00274727 , 5.85081e-05 , 1.93523e-28 , 6.5154e-32 , 9.05277e-30
0.4 , 1116.5 , 0.000269017 , 0.00104608 , 2.16028e-08 , 0.00431132 , 3.33428e-05 , 3.52465e-25 , 3.62091e-28 , 3.18293e-26
0.6 , 1195.88 , 0.000516096 , 0.00142372 , 3.45165e-07 , 0.00588204 , 2.28478e-05 , 5.58191e-23 , 1.2177e-25 , 7.8571e-24
0.8 , 1264.49 , 0.00083923 , 0.00180637 , 2.87717e-06 , 0.00747047 , 1.71323e-05 , 2.6596e-21 , 1.03082e-23 , 5.25265e-22
1 , 1326.12 , 0.00123906 , 0.00218903 , 1.60435e-05 , 0.0090576 , 1.35343e-05 , 6.0729e-20 , 3.7492e-22 , 1.57782e-20
1.2 , 1382.68 , 0.00171393 , 0.00255111 , 6.72512e-05 , 0.0105589 , 1.09713e-05 , 8.38266e-19 , 7.64945e-21 , 2.74155e-19
1.4 , 1435.32 , 0.00225455 , 0.00283176 , 0.000222939 , 0.0117226 , 8.83538e-06 , 8.00383e-18 , 1.02205e-19 , 3.19042e-18
1.6 , 1484.79 , 0.00283328 , 0.00290893 , 0.00058704 , 0.0120435 , 6.73179e-06 , 5.76258e-17 , 9.8741e-19 , 2.73138e-17
1.8 , 1531.62 , 0.00339648 , 0.00266987 , 0.00120384 , 0.0110548 , 4.58705e-06 , 3.31921e-16 , 7.38267e-18 , 1.83466e-16
2 , 1576.21 , 0.00388404 , 0.00218498 , 0.0019257 , 0.00904774 , 2.7282e-06 , 1.5951e-15 , 4.48299e-17 , 1.01203e-15
2.2 , 1618.82 , 0.00426889 , 0.00167964 , 0.0025302 , 0.00695556 , 1.46391e-06 , 6.59129e-15 , 2.28877e-16 , 4.73721e-15
2.4 , 1659.63 , 0.004564 , 0.00129765 , 0.00293695 , 0.00537394 , 7.51754e-07 , 2.39509e-14 , 1.0081e-15 , 1.92803e-14
2.6 , 1698.78 , 0.00479661 , 0.00104902 , 0.00318707 , 0.00434445 , 3.86726e-07 , 7.78949e-14 , 3.90914e-15 , 6.95515e-14
2.8 , 1736.39 , 0.0049897 , 0.000895022 , 0.00334135 , 0.00370675 , 2.04138e-07 , 2.30023e-13 , 1.35674e-14 , 2.25885e-13
3 , 1772.58 , 0.00515836 , 0.00079939 , 0.00344201 , 0.00331074 , 1.11628e-07 , 6.24098e-13 , 4.27232e-14 , 6.69052e-13
3.2 , 1807.43 , 0.00531167 , 0.000738343 , 0.00351303 , 0.00305793 , 6.33751e-08 , 1.57121e-12 , 1.23451e-13 , 1.82674e-12
3.4 , 1841.02 , 0.005455 , 0.000697825 , 0.00356725 , 0.00289014 , 3.73203e-08 , 3.70086e-12 , 3.3045e-13 , 4.6392e-12
3.6 , 1873.42 , 0.00559158 , 0.000669747 , 0.00361152 , 0.00277385 , 2.27453e-08 , 8.21284e-12 , 8.26015e-13 , 1.10423e-11
3.8 , 1904.7 , 0.00572339 , 0.000649425 , 0.00364957 , 0.00268969 , 1.431e-08 , 1.72742e-11 , 1.94141e-12 , 2.47941e-11
4 , 1934.9 , 0.00585167 , 0.000634097 , 0.00368348 , 0.00262621 , 9.26988e-09 , 3.46138e-11 , 4.31576e-12 , 5.28124e-11
4.2 , 1964.07 , 0.00597723 , 0.000622097 , 0.00371446 , 0.00257652 , 6.16802e-09 , 6.6372e-11 , 9.12079e-12 , 1.07233e-10
4.4 , 1992.26 , 0.00610065 , 0.00061239 , 0.00374324 , 0.00253631 , 4.20627e-09 , 1.22263e-10 , 1.84072e-11 , 2.08433e-10
4.6 , 2019.51 , 0.00622229 , 0.000604317 , 0.00377026 , 0.00250288 , 2.93399e-09 , 2.17106e-10 , 3.5615e-11 , 3.89289e-10
4.8 , 2045.86 , 0.00634245 , 0.000597445 , 0.00379582 , 0.00247441 , 2.08954e-09 , 3.72761e-10 , 6.62953e-11 , 7.00932e-10
5 , 2071.34 , 0.00646132 , 0.000591484 , 0.00382012 , 0.00244973 , 1.51694e-09 , 6.20501e-10 , 1.19092e-10 , 1.22026e-09
5.2 , 2095.99 , 0.00657908 , 0.000586234 , 0.00384331 , 0.00242798 , 1.12093e-09 , 1.00382e-09 , 2.07029e-10 , 2.05941e-09
5.4 , 2119.83 , 0.00669585 , 0.00058155 , 0.0038655 , 0.00240857 , 8.41994e-10 , 1.58165e-09 , 3.49151e-10 , 3.37728e-09
5.6 , 2142.9 , 0.00681173 , 0.000577331 , 0.00388677 , 0.00239109 , 6.42158e-10 , 2.43193e-09 , 5.72532e-10 , 5.39319e-09
5.8 , 2165.22 , 0.0069268 , 0.0005735 , 0.00390718 , 0.00237521 , 4.96717e-10 , 3.65548e-09 , 9.14679e-10 , 8.40258e-09
6 , 2186.83 , 0.00704115 , 0.000569996 , 0.00392679 , 0.00236069 , 3.89297e-10 , 5.38003e-09 , 1.42633e-09 , 1.27945e-08
6.2 , 2207.74 , 0.00715482 , 0.000566776 , 0.00394565 , 0.00234733 , 3.08867e-10 , 7.76433e-09 , 2.17459e-09 , 1.90705e-08
6.4 , 2227.99 , 0.00726787 , 0.000563803 , 0.00396381 , 0.00233499 , 2.47869e-10 , 1.10022e-08 , 3.24642e-09 , 2.7865e-08
6.6 , 2247.59 , 0.00738035 , 0.000561048 , 0.00398129 , 0.00232353 , 2.01053e-10 , 1.53263e-08 , 4.75234e-09 , 3.99657e-08
6.8 , 2266.58 , 0.0074923 , 0.000558489 , 0.00399813 , 0.00231288 , 1.64715e-10 , 2.10116e-08 , 6.83031e-09 , 5.63341e-08
7 , 2284.97 , 0.00760375 , 0.000556104 , 0.00401437 , 0.00230293 , 1.36213e-10 , 2.83788e-08 , 9.64971e-09 , 7.8126e-08
7.2 , 2302.79 , 0.00771475 , 0.00055388 , 0.00403003 , 0.00229362 , 1.13636e-10 , 3.7796e-08 , 1.34153e-08 , 1.0671e-07
7.4 , 2320.05 , 0.00782531 , 0.000551802 , 0.00404514 , 0.00228488 , 9.55837e-11 , 4.96814e-08 , 1.83707e-08 , 1.43683e-07
7.6 , 2336.78 , 0.00793548 , 0.000549858 , 0.00405972 , 0.00227668 , 8.10236e-11 , 6.45038e-08 , 2.48027e-08 , 1.9089e-07
7.8 , 2352.99 , 0.00804526 , 0.000548041 , 0.00407381 , 0.00226895 , 6.91828e-11 , 8.27832e-08 , 3.30433e-08 , 2.50427e-07
8 , 2368.71 , 0.0081547 , 0.000546341 , 0.00408741 , 0.00226166 , 5.94782e-11 , 1.0509e-07 , 4.34734e-08 , 3.24658e-07
8.2 , 2383.95 , 0.00826381 , 0.000544753 , 0.00410056 , 0.00225477 , 5.14657e-11 , 1.32046e-07 , 5.65248e-08 , 4.16218e-07
8.4 , 2398.73 , 0.00837261 , 0.000543271 , 0.00411326 , 0.00224826 , 4.48043e-11 , 1.64318e-07 , 7.26814e-08 , 5.28011e-07
8.6 , 2413.07 , 0.00848112 , 0.000541891 , 0.00412555 , 0.00224209 , 3.92295e-11 , 2.02619e-07 , 9.24809e-08 , 6.63213e-07
